id,tractable,solver_provider,solver_model,solver_reasoning,solver_attempt,providers_tried
ba6c7680-e87e-452a-9061-67a4c07ddeb3,True,openai,gpt-5-nano,high,1,1
1af96720-0565-4451-8e6e-71bf4a31836c,True,openai,gpt-5-nano,high,1,1
43125f7e-1490-4e4b-8329-e7513fecca22,True,openai,gpt-5-nano,high,1,1
affad052-1710-470b-8d12-8c6b6beff451,True,openai,gpt-5-nano,high,1,1
fd375582-7be6-44d8-ad8a-f614a28fbbb7,True,openai,gpt-5-nano,high,1,1
f55b135e-cbea-4ad9-b256-07632b30565b,True,openai,gpt-5-nano,high,1,1
90af7355-dde2-4e5f-8a74-c7a316641152,True,openai,gpt-5-nano,high,1,1
0eef888a-1aa1-4768-8b5f-a78905f57c1a,True,openai,gpt-5-nano,high,1,1
892ff7b0-55d3-4375-85b6-3e1e5c20f78f,True,openai,gpt-5-nano,high,1,1
c481ff8a-af57-41e0-b8dd-6fcbd5fcbd47,True,openai,gpt-5-nano,high,1,1
887e1d21-fa64-433c-b6ac-7e20fb992867,True,openai,gpt-5-nano,high,1,1
fac9f209-97e3-4b70-9c58-adcd82ba66dc,True,openai,gpt-5-nano,high,1,1
47bbe0b4-89ae-4ac8-b18c-c257ecd334d4,True,openai,gpt-5-nano,high,1,1
5613a0f9-6682-4ddf-a6f9-285928fc8f6f,True,openai,gpt-5-nano,high,1,1
50e16ebc-efff-4955-a266-e83fd3bdb0dc,True,openai,gpt-5-nano,high,1,1
7f265a50-4499-46d5-bc48-a94234acb964,True,openai,gpt-5-nano,high,1,1
fcfa5914-2d11-466b-8358-ab24a4810021,True,openai,gpt-5-nano,high,1,1
9d28186c-7e1b-4a70-9cee-8e1cae7d9601,True,openai,gpt-5-nano,high,1,1
47277e61-a83c-41b0-b904-5254752862e7,True,openai,gpt-5-nano,high,1,1
70d916d6-bca9-4ebf-beea-730a4e343025,True,openai,gpt-5-nano,high,1,1
46039559-3304-4f2e-b7ba-8d0eea96aafe,True,openai,gpt-5-nano,high,1,1
9a65dafe-82b2-4dfa-98c6-96afab9df2c5,True,openai,gpt-5-nano,high,1,1
189cd08c-ab76-49d4-be9d-edf1a3f94cf3,True,openai,gpt-5-nano,high,1,1
916fc686-c727-4bd8-8949-80fcbd34b3e5,True,openai,gpt-5-nano,high,1,1
0c81267d-4f42-42d7-b67b-fc72200416cc,True,openai,gpt-5-nano,high,1,1
701f5133-0363-4b30-a74f-f408f0c242da,True,openai,gpt-5-mini,high,1,2
6ce256ea-fb4d-4395-9e7a-1aeaf41ad4c5,True,openai,gpt-5-nano,high,1,1
27ab82ba-6014-44e7-a7a9-e191fb021fbe,True,openai,gpt-5-nano,high,1,1
070b2324-bfb3-4ad1-9420-0e5ac1396645,True,openai,gpt-5-nano,high,1,1
dcfcc382-b82e-4942-9a6d-cc9a97b81b0e,True,openai,gpt-5-nano,high,1,1
ca52f04f-33bd-4a15-ba56-0c0d10548475,True,openai,gpt-5-nano,high,1,1
9af2f991-ef9d-4c33-bb46-292109da1513,True,openai,gpt-5-nano,high,1,1
8714de1c-16c6-4b95-bdd2-9ef05d8d451b,True,openai,gpt-5-nano,high,1,1
1073e81a-40aa-4db6-89d4-d10ed75e2493,True,openai,gpt-5-nano,high,1,1
e4158ea3-1939-4bf9-bbfc-7dc66c4533ee,True,openai,gpt-5-nano,high,1,1
3ac38b2c-32d2-478d-834d-cd7eacaebc1c,True,openai,gpt-5-nano,high,1,1
718e5fc3-455d-4976-b0f6-e49a7673858f,True,openai,gpt-5-nano,high,1,1
941e807f-c793-41bd-8367-432403881806,True,openai,gpt-5-nano,high,1,1
a0c8cbf8-9c16-422d-8549-2815996a6dc3,True,openai,gpt-5-nano,high,1,1
